Qual foi a descoberta de Spallanzani em 1794 que contribuiu para os princípios da ultrassonografia?,A orientação dos morcegos através de ondas sonoras.
Defina a Equação de Larmor no contexto da física da $RM$.,Calcula a frequência de precessão dos átomos (frequência de rádio) necessária para a ressonância num determinado campo magnético.
Por que razão os pacientes animais podem necessitar de sacos de gelo durante uma $RM$ de alto campo?,"Para ajudar a dissipar o calor corporal gerado pelas ondas de radiofrequência, já que os animais não transpiram como os humanos."
O que mede o rácio $SAR$ ($Specific\ Absorption\ Rate$) na segurança da $RM$?,"A taxa de energia de radiofrequência absorvida pelo corpo do paciente, baseada na sua massa."
Por que é obrigatória a proteção auricular (tampões ou auscultadores) durante uma Ressonância Magnética?,"Devido ao ruído acústico extremo produzido pelos gradientes, que pode exceder os $90\ dB$."
Qual é o procedimento de segurança obrigatório se houver suspeita de fragmentos metálicos desconhecidos num animal antes da $RM$?,Realizar radiografias prévias para localizar metais que poderiam migrar ou aquecer durante o exame.
Como difere a Medicina Nuclear da Radiografia convencional no que toca à fonte de radiação?,"Na Medicina Nuclear o paciente é o emissor da radiação (após injeção de isótopos), enquanto na Radiografia o tubo é o emissor."
Qual é o radioisótopo mais comummente utilizado na cintigrafia óssea veterinária?,Tecnécio-$99m$ ($Tc-99m$).
O que avalia a Medicina Nuclear que a $TAC$ e a Radiografia não conseguem avaliar diretamente?,"A função fisiológica ou o metabolismo de um tecido, em vez de apenas a sua forma anatómica."
Para que patologia específica se utiliza frequentemente o Iodo-$131$ em Medicina Nuclear?,Avaliação e tratamento de doenças da glândula tiroide.
Explique o processo de aniquilação que ocorre num exame de $PET$ ($Positron\ Emission\ Tomography$).,"Um positrão colide com um eletrão, emitindo dois fotões gama em direções opostas ($180^{\circ}$)."
Qual é a principal limitação logística do radioisótopo $FDG$ utilizado em $PET$?,"A sua meia-vida curta (aprox. $110$ minutos), exigindo proximidade entre a produção e o local do exame."
Que tipo de informação fornece a fusão de imagens $PET/CT$?,Combina a alta resolução anatómica da $TAC$ com a informação metabólica precisa do $PET$.
Qual é o cuidado crítico no maneio de um animal após um exame de Medicina Nuclear?,O isolamento em instalações próprias e o maneio cauteloso das excreções (urina) devido à radioatividade residual.
O meio de contraste Gadolínio é utilizado em que modalidade e com que propósito?,"Na Ressonância Magnética, para realçar tumores, inflamações ou vascularização em imagens $T1$."
Diferencie a imagem de $RM$ ponderada em $T1$ de uma imagem ponderada em $T2$ em termos de fluidos.,"Em $T1$ os fluidos aparecem escuros, enquanto em $T2$ os fluidos (como o $LCR$) aparecem brancos."
O que indica a presença de um 'hot spot' (ponto quente) numa cintigrafia óssea?,"Uma área de atividade metabólica ou remodelação óssea aumentada, comum em fraturas ou inflamações."
Por que razão a anestesia geral é quase sempre obrigatória para $TAC$ e $RM$ em medicina veterinária?,"Para garantir a imobilidade absoluta do paciente, essencial para evitar artefactos de movimento na reconstrução 3D."
Qual é o principal risco de um implante ferromagnético num paciente submetido a $RM$?,"O implante pode sofrer torção (deslocamento) ou aquecimento excessivo, causando lesões internas."
"Em ultrassonografia, o que caracteriza a 'ecotextura' de um órgão?",O padrão de distribuição e granulosidade dos ecos internos do tecido parenquimatoso.
O que significa a sigla $AFAST$ em medicina de emergência veterinária?,$Abdominal\ Focused\ Assessment\ with\ Sonography\ for\ Trauma$ (Avaliação abdominal focada com ultrassonografia para trauma).
Em que situações clínicas se justifica o uso de ultrassonografia ocular?,"Quando existe opacidade dos meios (cataratas, hifema) que impede a observação direta da retina."
Qual é a utilidade da Ecoencefalografia?,Avaliação do parênquima cerebral através de fontanelas abertas em animais jovens.
Quais são as janelas acústicas típicas pesquisadas no protocolo $TFAST$?,Zonas pleurais e pericárdicas para deteção de efusões ou pneumotórax.
"Na $TAC$, por que é necessário o uso de colimadores?",Para restringir o feixe de raios-X à espessura de corte desejada e reduzir a radiação dispersa.
Termo: Pixel.,Definição: Elemento bidimensional de uma matriz de imagem que representa uma densidade média de tecido.
O que é o 'Hounsfield Unit' ($HU$) na Tomografia Computorizada?,"Uma escala numérica que quantifica a densidade relativa dos tecidos (ex: água = $0$, ar = $-1000$)."
Qual é a via de administração exclusiva para agentes de contraste à base de Gadolínio ($GBCA$)?,Via intravenosa.
Como a obesidade de um paciente animal pode afetar a interpretação de radiografias torácicas?,"Pode causar uma subventilação, levando a uma falsa interpretação de padrões alveolares ou intersticiais."
"No contexto da $TAC$, o que determina a resolução da imagem?","O tamanho do pixel; quanto menor o pixel, maior a resolução espacial da imagem."
Qual é o objetivo principal do protocolo $AFAST$ na triagem de emergência?,"Identificar rapidamente a presença de líquido livre (sangue, urina, efusão) nas cavidades peritoneais."
Por que razão os pacientes com insuficiência renal requerem cautela extrema antes de realizar uma $TAC$ com contraste?,Os meios de contraste iodados são nefrotóxicos e podem agravar a lesão renal pré-existente.
Defina o termo 'meia-vida' de um radioisótopo.,O tempo necessário para que a atividade radioativa de uma substância se reduza a metade do seu valor inicial.
O que avalia especificamente a Ecocardiografia Doppler?,A velocidade e a direção do fluxo sanguíneo dentro das câmaras cardíacas e vasos.
Qual é a principal contraindicação para o uso de ar como contraste negativo numa cistografia em pacientes com hematúria?,Risco de embolia gasosa se o gás entrar na circulação através de vasos rotos na bexiga.
Por que é crucial remover coleiras e trelas metálicas antes de qualquer exame de $TAC$?,Para evitar artefactos metálicos em 'estrela' que obscurecem a anatomia circundante na imagem.
"Em Medicina Nuclear, o detetor da radiação é designado por _____.",Câmara gama (ou câmara de cintilação).
O que diferencia um transdutor de ultrassom de alta frequência de um de baixa frequência?,Alta frequência oferece melhor resolução mas menor penetração; baixa frequência penetra mais fundo mas com menor detalhe.
Qual é a importância da tricotomia ampla na ultrassonografia abdominal?,"Eliminar o ar aprisionado entre os pelos, que é um potente isolante acústico e impede a formação de imagem."
"No contexto da segurança em Medicina Nuclear, que cuidado deve ter o técnico com a urina do paciente nas primeiras 24 horas?","Usar luvas e proteção, pois a urina é a principal via de excreção do isótopo radioativo."
